0,6
0,7
0,7
0,7
0,8
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,5
0,5
0,6
0,6
0,6
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,6
0,6
0,6
0,5
0,5
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,5
0,5
0,6
0,6
0,7
0,7
0,7
0,6
0,5
0,5
0,5
0,5
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,7
0,7
0,7
0,7
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,6
0,6
0,6
0,6
0,5
0,5
0,5
0,5
0,5
0,5
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,5
0,5
0,5
0,4
0,4
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,6
0,6
0,6
0,6
0,5
0,5
0,5
0,5
0,5
0,5
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,5
0,5
0,5
0,5
0,5
0,7
0,7
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,7
0,7
0,6
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,9
0,9
0,9
0,7
0,6
0,6
0,6
0,7
0,7
0,8
0,8
0,8
0,8
0,9
0,9
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,7
0,7
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,9
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,9
0,9
0,9
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,9
0,9
0,9
0,9
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,9
0,9
0,9
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,6
0,6
0,6
0,7
0,7
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,9
0,9
0,9
0,9
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,9
0,9
0,9
0,9
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,9
0,9
0,9
0,9
0,9
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,1
10,1
10,1
10,1
10,1
10,0
10,0
10,0
0,8
0,8
0,8
0,8
0,8
0,9
0,9
10,0
10,0
0,8
0,8
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,9
0,9
0,8
0,9
10,0
10,0
10,0
10,0
0,9
0,8
0,8
0,8
0,8
10,0
10,0
10,0
10,0
10,1
10,1
10,1
10,1
10,1
10,0
10,0
10,0
10,0
10,0
0,8
0,8
0,8
0,9
0,9
0,9
0,9
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,9
0,9
0,9
0,8
0,8
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,9
0,9
0,9
0,9
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,9
0,9
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,9
0,9
0,9
0,8
0,9
0,9
0,9
0,9
0,8
0,9
0,9
0,9
0,8
0,8
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,9
0,9
0,9
0,9
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,8
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,6
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,8
0,8
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,5
0,5
0,5
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,9
0,9
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,7
0,7
0,7
0,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,7
0,7
0,6
0,6
0,6
0,7
